商品ID,賣家ID,商品名稱,價格,使用者ID,是否匿名,留言時間,是否隱藏,訂單編號,給星,留言內容,商品規格
5967762556,61939449,【台灣賣家x唯一正版】 新年 春節 紅包放這 新春 過年 寵物服飾 秋冬 狗衣服 雪納瑞 西高地 比熊 柯基 柴犬 貴賓,344,5948247,True,1642565335,False,95602781201132,5,跟照片看起來一摸一樣，只是尺寸有點偏小，建議可以拿比實際大一號，這樣穿起來才不會太緊。^n送貨速度非常快，下標沒多久就收到了！真的很開心😃希望多出一點款式還會再訂購😍😍😍,"['恭喜發財（繁體）＊現貨,2XL碼', '紅包放這（繁體）＊現貨,2XL碼']"
5967762556,61939449,【台灣賣家x唯一正版】 新年 春節 紅包放這 新春 過年 寵物服飾 秋冬 狗衣服 雪納瑞 西高地 比熊 柯基 柴犬 貴賓,344,14904317,True,1642835103,False,96207030089654,5,好賣家👌^n還好有賣家貼心的私訊問寶貝的身型、體重 ^n讓我沒有買錯尺寸 ^n店家建議的尺寸寶貝剛剛好👍^n衣服的材質超讚的 超喜歡😍👍,"['恭喜發財（繁體）＊現貨,3XL碼', '恭喜發財（繁體）＊現貨,S碼']"
5967762556,61939449,【台灣賣家x唯一正版】 新年 春節 紅包放這 新春 過年 寵物服飾 秋冬 狗衣服 雪納瑞 西高地 比熊 柯基 柴犬 貴賓,344,174126,True,1642680706,False,96024707263246,5,賣家出貨非常快速，讓我家寶貝在過年前可以穿新衣，衣服質感也很好，非常感謝賣家提供建議尺寸。,"['紅包放這（繁體）＊現貨,3XL碼']"
5967762556,61939449,【台灣賣家x唯一正版】 新年 春節 紅包放這 新春 過年 寵物服飾 秋冬 狗衣服 雪納瑞 西高地 比熊 柯基 柴犬 貴賓,344,105901189,True,1641859768,False,95096679056600,5,賣家出貨速度很快，服務很好，衣服的材質很不錯，下一次還會回購。,"['恭喜發財（繁體）＊現貨,3XL碼']"
5967762556,61939449,【台灣賣家x唯一正版】 新年 春節 紅包放這 新春 過年 寵物服飾 秋冬 狗衣服 雪納瑞 西高地 比熊 柯基 柴犬 貴賓,344,480721271,True,1640253001,False,93439337192905,5,期待很久了，終於收到了，尺寸也剛剛好，因為也買了大人親子同款，期待過年帶出去走走的時候！！！,"['恭喜發財（繁體字）＊現貨,XL碼']"
5967762556,61939449,【台灣賣家x唯一正版】 新年 春節 紅包放這 新春 過年 寵物服飾 秋冬 狗衣服 雪納瑞 西高地 比熊 柯基 柴犬 貴賓,344,2223553,True,1672390312,False,125403211263976,5,衣服很好看，質感也不錯，只是等了很久才等到^n還好過年前到貨了！,"['恭喜發財（繁體）🧨現貨,2XL碼', '紅包放這（繁體）🧨現貨,2XL碼']"
5967762556,61939449,【台灣賣家x唯一正版】 新年 春節 紅包放這 新春 過年 寵物服飾 秋冬 狗衣服 雪納瑞 西高地 比熊 柯基 柴犬 貴賓,344,42678213,True,1672474212,False,125593316230238,5,品質:超讚^n和圖片相符:一模一樣^n^n謝謝賣家提早讓我收到超讚的商品👍我們家的狗狗超愛👍寄貨速度超快👍超值得推薦的賣家👍👍👍,"['紅包放這（繁體）🧨現貨,4XL碼（獨家販售）']"
5967762556,61939449,【台灣賣家x唯一正版】 新年 春節 紅包放這 新春 過年 寵物服飾 秋冬 狗衣服 雪納瑞 西高地 比熊 柯基 柴犬 貴賓,344,57347520,True,1641963215,False,95357675129957,5,出貨速度蠻快的，包裝很完整，料子不錯很好摸，寶貝過年穿很喜氣，她很喜歡💕,"['恭喜發財（繁體）＊現貨,XL碼']"
5967762556,61939449,【台灣賣家x唯一正版】 新年 春節 紅包放這 新春 過年 寵物服飾 秋冬 狗衣服 雪納瑞 西高地 比熊 柯基 柴犬 貴賓,344,3729353,True,1642763459,False,95935338086039,5,商品品質很不錯，摸起來很舒服^n賣家非常親切，有任何問題詢問他們都會仔細給予答覆與建議，是個非常好的賣家～大推！,"['紅包放這（繁體）＊現貨,M碼']"
5967762556,61939449,【台灣賣家x唯一正版】 新年 春節 紅包放這 新春 過年 寵物服飾 秋冬 狗衣服 雪納瑞 西高地 比熊 柯基 柴犬 貴賓,344,6927060,True,1641168079,False,94384329201971,5,材質很舒適，感覺很保暖，size不會太小還有空間可以塞肉🤣小編很親切幫忙看size，很推喔！,"['紅包放這（繁體）＊現貨(2、3L元旦到),2XL碼']"
5967762556,61939449,【台灣賣家x唯一正版】 新年 春節 紅包放這 新春 過年 寵物服飾 秋冬 狗衣服 雪納瑞 西高地 比熊 柯基 柴犬 貴賓,344,14991604,True,1641102490,False,94139129501719,5,超nice的賣家，給賣家小狗尺寸，賣家會提供適合的size，尺寸非常合適，材質也很好，單價也很合理，有機會會再回購👍,"['紅包放這（繁體字）＊現貨,3XL碼']"
5967762556,61939449,【台灣賣家x唯一正版】 新年 春節 紅包放這 新春 過年 寵物服飾 秋冬 狗衣服 雪納瑞 西高地 比熊 柯基 柴犬 貴賓,344,2865520,True,1641803706,False,95067498224655,5,但要尺寸跟賣家講賣家就會告知您要的以及適合的衣服大小剛收到的時候以為太小姐結果穿上去之後還蠻剛好的，穿起來很可愛，準備過年穿！,"['恭喜發財（繁體）＊現貨,2XL碼']"
5967762556,61939449,【台灣賣家x唯一正版】 新年 春節 紅包放這 新春 過年 寵物服飾 秋冬 狗衣服 雪納瑞 西高地 比熊 柯基 柴犬 貴賓,344,1725312,True,1640267965,False,93530461164075,5,平常沒特別在評價的，但這個賣家真的很讚喔！昨天出貨隔天就收到了，出貨速度真的超級快，然後賣家出貨前也會非常貼心的一直給你最適合的建議，收到尺寸真的很適合，狗狗穿起來超可愛的，期待過年幫他穿上😊，有機會會再回購其他商品的。,"['紅包放這（繁體字）＊現貨,XL碼']"
5967762556,61939449,【台灣賣家x唯一正版】 新年 春節 紅包放這 新春 過年 寵物服飾 秋冬 狗衣服 雪納瑞 西高地 比熊 柯基 柴犬 貴賓,344,47432776,True,1634968803,False,88393106135875,5,出貨速度超級快，賣家也很細心會先詢問，原本以為會等很久，也怕賣光就提早買好過年衣服啦~實在太可愛啦❤,"['紅包放這－M～2XL現貨,2XL碼']"
5967762556,61939449,【台灣賣家x唯一正版】 新年 春節 紅包放這 新春 過年 寵物服飾 秋冬 狗衣服 雪納瑞 西高地 比熊 柯基 柴犬 貴賓,344,8492617,True,1672626281,False,125827294127098,5,品質:良好^n和圖片相符:相符^n^n材質柔軟舒適^n內裡磨毛，厚薄度適中^n穿起來應該滿保暖的^n過年又應景，喜氣^n賣家服務很不錯^n有機會在回購,"['恭喜發財（繁體字）🧨,XS碼【現貨／獨家販售】']"
5967762556,61939449,【台灣賣家x唯一正版】 新年 春節 紅包放這 新春 過年 寵物服飾 秋冬 狗衣服 雪納瑞 西高地 比熊 柯基 柴犬 貴賓,344,154132724,True,1671702760,False,125115187256832,5,跟像片一樣,"['紅包放這（繁體）🧨現貨,4XL碼（獨家販售）']"
5967762556,61939449,【台灣賣家x唯一正版】 新年 春節 紅包放這 新春 過年 寵物服飾 秋冬 狗衣服 雪納瑞 西高地 比熊 柯基 柴犬 貴賓,344,65998464,True,1671867087,False,124997277179051,5,品質:很好^n和圖片相符:是^n^n穿起來很寬鬆舒服，紅色的很喜慶，期待過年穿回去要紅包🤣,"['恭喜發財（繁體）🧨現貨,2XL碼']"
5967762556,61939449,【台灣賣家x唯一正版】 新年 春節 紅包放這 新春 過年 寵物服飾 秋冬 狗衣服 雪納瑞 西高地 比熊 柯基 柴犬 貴賓,344,562632420,True,1671029776,False,124217597211302,5,有夠可愛！媽媽已瘋狂😍^n15公斤穿2XL^n20公斤穿3XL^n推推👍,"['紅包放這（繁體）🧨現貨,3XL碼', '紅包放這（繁體）🧨現貨,2XL碼']"
5967762556,61939449,【台灣賣家x唯一正版】 新年 春節 紅包放這 新春 過年 寵物服飾 秋冬 狗衣服 雪納瑞 西高地 比熊 柯基 柴犬 貴賓,344,8099936,True,1640694763,False,93883046489836,5,過年穿新衣領紅包✌^n這件有口袋太可愛了吧🤣^n希望家裡這隻穿得下去,"['恭喜發財（繁體字）＊現貨,2XL碼']"
5967762556,61939449,【台灣賣家x唯一正版】 新年 春節 紅包放這 新春 過年 寵物服飾 秋冬 狗衣服 雪納瑞 西高地 比熊 柯基 柴犬 貴賓,344,9694933,True,1641995041,False,95275913511347,5,出貨速度超快！賣家也很貼心！會額外再確認尺寸^n大小很剛好，材質也很舒適！,"['紅包放這（繁體）＊現貨,L碼']"
5967762556,61939449,【台灣賣家x唯一正版】 新年 春節 紅包放這 新春 過年 寵物服飾 秋冬 狗衣服 雪納瑞 西高地 比熊 柯基 柴犬 貴賓,344,678211,True,1643069392,False,96176530047055,5,客服很有耐心詢問尺寸，而且出貨速度很快👍🏻推推好賣家喔！☺️,"['恭喜發財（繁體）＊現貨,2XL碼']"
5967762556,61939449,【台灣賣家x唯一正版】 新年 春節 紅包放這 新春 過年 寵物服飾 秋冬 狗衣服 雪納瑞 西高地 比熊 柯基 柴犬 貴賓,344,4462501,True,1642808338,False,96102557577180,5,出貨速度超快 狗狗穿起來真的超可愛的哈哈哈^n謝謝闆闆 服務很貼心 推推😍😍,"['恭喜發財（繁體）＊現貨,2XL碼']"
5967762556,61939449,【台灣賣家x唯一正版】 新年 春節 紅包放這 新春 過年 寵物服飾 秋冬 狗衣服 雪納瑞 西高地 比熊 柯基 柴犬 貴賓,344,1931315,True,1643448162,False,96882287092482,5,資料很好摸起來很舒服,"['紅包放這（簡體）＊現貨,L碼']"
5967762556,61939449,【台灣賣家x唯一正版】 新年 春節 紅包放這 新春 過年 寵物服飾 秋冬 狗衣服 雪納瑞 西高地 比熊 柯基 柴犬 貴賓,344,44289838,True,1672377664,False,125660181144070,5,包裝非常好👍，衣服材質摸起來還不錯的，出貨速度超快，有衣服需要會再回購的,"['紅包放這（繁體）🧨現貨,XL碼', '恭喜發財（繁體）🧨現貨,L碼']"
5967762556,61939449,【台灣賣家x唯一正版】 新年 春節 紅包放這 新春 過年 寵物服飾 秋冬 狗衣服 雪納瑞 西高地 比熊 柯基 柴犬 貴賓,344,21233391,True,1672189263,False,125339605141008,5,賣家寄貨很迅速，感謝賣家推薦尺寸，家裡的狗狗穿起來合身，謝謝！,"['恭喜發財（繁體）🧨現貨,3XL碼']"
5967762556,61939449,【台灣賣家x唯一正版】 新年 春節 紅包放這 新春 過年 寵物服飾 秋冬 狗衣服 雪納瑞 西高地 比熊 柯基 柴犬 貴賓,344,64810735,True,1640697227,False,92976026459702,5,賣家很用心溝通尺寸👍^n但我太晚回覆了幸好也剛好可以穿❤️^n材質很棒唷^n質感也很好👍^n推推👍,"['恭喜發財（繁體字）＊現貨,2XL碼']"
5967762556,61939449,【台灣賣家x唯一正版】 新年 春節 紅包放這 新春 過年 寵物服飾 秋冬 狗衣服 雪納瑞 西高地 比熊 柯基 柴犬 貴賓,344,18514302,True,1642692852,False,95100280515436,5,商品出貨迅速👍🏻包裝仔細👏🏻^n賣家聊聊回應迅速且態度良好❤️^n有需要會再回購👏🏻,"['紅包放這（繁體）＊現貨,2XL碼']"
5967762556,61939449,【台灣賣家x唯一正版】 新年 春節 紅包放這 新春 過年 寵物服飾 秋冬 狗衣服 雪納瑞 西高地 比熊 柯基 柴犬 貴賓,344,22450816,True,1641786298,False,93998956576152,5,超讚的商品品質！擔心尺寸問題跟賣家詢問，賣家也都能解答！狗狗試穿後大小剛好！很可愛！,"['恭喜發財（繁體字）＊現貨,3XL碼']"
5967762556,61939449,【台灣賣家x唯一正版】 新年 春節 紅包放這 新春 過年 寵物服飾 秋冬 狗衣服 雪納瑞 西高地 比熊 柯基 柴犬 貴賓,344,3122559,True,1642776311,False,96250694150951,5,包裝完整都挺好的，商品品質很讚，價格也很經濟實惠，有需要會在回購。,"['恭喜發財（繁體）＊現貨,XL碼']"
5967762556,61939449,【台灣賣家x唯一正版】 新年 春節 紅包放這 新春 過年 寵物服飾 秋冬 狗衣服 雪納瑞 西高地 比熊 柯基 柴犬 貴賓,344,4019046,True,1638262528,False,90342254369409,5,出貨速度很快、還沒試穿、但材質摸起來還不錯、而且服務很好還會詢問尺寸,"['紅包放這（繁體字）＊現貨,2XL碼']"
5967762556,61939449,【台灣賣家x唯一正版】 新年 春節 紅包放這 新春 過年 寵物服飾 秋冬 狗衣服 雪納瑞 西高地 比熊 柯基 柴犬 貴賓,344,127745907,True,1643336782,False,96612256439382,5,包裝完整，貼心服務， 出貨速度快，可以趕在過年前拿到很開心，下次會再回購,"['紅包放這（繁體）＊現貨,2XL碼']"
5967762556,61939449,【台灣賣家x唯一正版】 新年 春節 紅包放這 新春 過年 寵物服飾 秋冬 狗衣服 雪納瑞 西高地 比熊 柯基 柴犬 貴賓,344,23057203,True,1672497741,False,125927625134536,5,品質:好^n和圖片相符:符合^n^n品質很好，內有毛刷，我們家寵兒超愛，摸起來質感也很好👍,"['恭喜發財（繁體字）🧨,3XL碼【現貨】']"
5967762556,61939449,【台灣賣家x唯一正版】 新年 春節 紅包放這 新春 過年 寵物服飾 秋冬 狗衣服 雪納瑞 西高地 比熊 柯基 柴犬 貴賓,344,553585,True,1612692381,False,65015021531161,5,幫自家狗狗先試穿隨便拍一張^n東西很可愛 是用頭套進去的而已^n等過年期間才會穿上新衣🥰,"['紅包放這－進貨中，最慢2月上旬出貨,M碼']"
5967762556,61939449,【台灣賣家x唯一正版】 新年 春節 紅包放這 新春 過年 寵物服飾 秋冬 狗衣服 雪納瑞 西高地 比熊 柯基 柴犬 貴賓,344,19433549,True,1639757862,False,91807787385948,5,衣服很合身，謝謝賣家細心詢問尺寸和給予建議，布料很舒服也不會過於厚重，我家黑皮很喜歡,"['恭喜發財（繁體字）＊現貨,2XL碼']"
5967762556,61939449,【台灣賣家x唯一正版】 新年 春節 紅包放這 新春 過年 寵物服飾 秋冬 狗衣服 雪納瑞 西高地 比熊 柯基 柴犬 貴賓,344,162710508,True,1669037219,False,121801762102777,5,品質:優良^n^n關於衣服的size，賣家會提供建議，收到的貨品相符，狗狗試穿後，非常可愛！衣服質感很好，未來有機會再回購！,"['恭喜發財（繁體）🧨進貨中,2XL碼', '紅包放這（繁體）🧨L、XL、2L現貨,2XL碼']"
5967762556,61939449,【台灣賣家x唯一正版】 新年 春節 紅包放這 新春 過年 寵物服飾 秋冬 狗衣服 雪納瑞 西高地 比熊 柯基 柴犬 貴賓,344,129833306,True,1641495762,False,94760486367515,5,感謝！！非常細心確認尺寸！！怕我買的太大件會不好看！！結果尺寸合身嘟嘟好~5歲柴柴小帥哥XL即可！！成為火鍋店萌寵客人妹子爭相合照！！值得推薦的好細心商家！！衣服也好看！！,"['恭喜發財（繁體）＊現貨,3XL碼']"
5967762556,61939449,【台灣賣家x唯一正版】 新年 春節 紅包放這 新春 過年 寵物服飾 秋冬 狗衣服 雪納瑞 西高地 比熊 柯基 柴犬 貴賓,344,235872570,True,1643464763,False,95773302541896,5,賣家真的很有耐心、細心的解說和溝通❤️尺寸很剛好～完全沒有買錯尺寸，原本還很擔心太小😅真的很推薦👍🏻👍🏻👍🏻👍🏻賣家真的人超好💕💕💕💕謝謝🙏🏻商品質感也很好👍🏻不是那種很爛的布料，是厚實的👍🏻真的很推❤️下次有需要還會繼續購買唷！❤️❤️❤️❤️,"['恭喜發財（繁體）＊現貨,S碼']"
5967762556,61939449,【台灣賣家x唯一正版】 新年 春節 紅包放這 新春 過年 寵物服飾 秋冬 狗衣服 雪納瑞 西高地 比熊 柯基 柴犬 貴賓,344,14123449,True,1641745014,False,94134319027400,5,優良賣家，出貨速度快，品質優， 照片跟實際收到貨品一樣，賣家回覆快速，值得信賴的賣家，服務態度好，解說詳細，下次有機會會回購！,"['紅包放這（繁體字）＊現貨,3XL碼']"
5967762556,61939449,【台灣賣家x唯一正版】 新年 春節 紅包放這 新春 過年 寵物服飾 秋冬 狗衣服 雪納瑞 西高地 比熊 柯基 柴犬 貴賓,344,3923378,True,1641391366,False,94837200004105,5,感謝迅速出貨～讓狗狗可以在過年前穿😂^n購買前一定要和賣家溝通尺寸，賣家建議的尺寸很準^n好險有溝通，不然就買太大了😅^n馬爾濟斯約五公斤，胸圍41 背35 穿S剛剛好,"['紅包放這（繁體）＊現貨,S碼']"
5967762556,61939449,【台灣賣家x唯一正版】 新年 春節 紅包放這 新春 過年 寵物服飾 秋冬 狗衣服 雪納瑞 西高地 比熊 柯基 柴犬 貴賓,344,130993125,True,1641739660,False,95051051039810,5,希望有錢老爸可以塞滿我的口袋❣️^n賣家人超好的，很用心的確認寶貝的身材適合穿什麼的尺寸^n不然買家吃虧的賣家是好人,"['恭喜發財（繁體）＊現貨,XL碼']"
